Variable,N,Mean,Median,Standard deviation,Minimum,Maximum
Health expenditure burden,518,8.948,9.151,2.315,3.703,18.516
Government financing share,41,56.134,66.031,14.58,34.547,70.649
Population aged 65 years and above,518,16.771,16.947,4.524,5.842,29.562
Dependency ratio,518,52.098,52.045,5.972,36.46,70.257
Gross domestic product per capita,518,40601.248,42280.511,25254.508,5339.687,134965.815
Long-term care workforce,58,4.681,4.3,2.915,0.5,10.7
Public health expenditure burden,41,6.155,6.038,1.118,3.964,8.681
Fiscal Pressure Index,518,470.48,463.049,144.336,173.552,973.749
Workforce adequacy ratio,58,0.267,0.245,0.194,0.021,0.771
Affordability ratio,518,4616.81,4028.214,3598.681,613.933,24066.396
